id,genre,title,author,publisher,edition
1,Diaries,There Was a Father (Chichi ariki),Shayne,Teodor,2
2,Journals,Troll,Bronson,Guillemette,1
3,Dictionaries,Disco Pigs,Pammy,Leisha,5
4,Guide,Flight Command,Linda,Linus,5
5,Anthology,Sibling Rivalry,Rodie,Lenora,5
6,Encyclopedias,Matewan,Wald,Ardys,4
7,Romance,Quiet Flows the Don (Tikhiy Don),Marquita,Jo-ann,4
8,Science fiction,"Circle, The (Dayereh)",Sadie,Conrade,1
9,academic,Kurt Cobain: Montage of Heck,Corena,Zachariah,5
10,Satire,Tripping the Rift: The Movie,Austin,Lillis,1
11,Science fiction,London Paris New York,Susan,Cully,3
12,Math,All Dogs Go to Heaven 2,Hortensia,Dane,5
13,Religion,Death by China ,Brigit,Garik,4
14,Encyclopedias,Bullitt,Andrus,Kippie,5
15,Cookbooks,Faster,Imogene,Shelagh,5
16,Drama,Good,Therese,Douglas,4
17,Health,Vixen!,Gertrud,Edna,5
18,Mystery,Beyond Bedlam,Gannon,Orsola,1
19,Dictionaries,Excess Baggage,Janie,Huntlee,4
20,biography,"¡Alambrista! (Illegal, The)",Mycah,Theo,2
21,Anthology,"Conspiracy, The",Golda,Alys,3
22,horror,Stranded,Lorianne,Earle,3
23,Travel,Frank,Roobbie,Corene,2
24,Action and Adventure,Tai Chi Master (Twin Warriors) (Tai ji: Zhang San Feng),Teador,Marietta,3
25,Guide,"Whale, The",Adolphe,Timotheus,2
26,Guide,"Book Thief, The",Hobie,Maisey,5
27,Guide,Fingers,Norman,Zabrina,4
28,Encyclopedias,Tuareg: The Desert Warrior (Tuareg - Il guerriero del deserto),Margaretha,Josy,1
29,Math,Evidence ,Kelwin,Loy,2
30,Horror,Unmade Beds,Yolanda,Demetre,4
31,Anthology,"Enemy of the People, An",Tammie,Gav,3
32,Poetry,Close-Up (Nema-ye Nazdik),Cloris,Linus,2
33,Mystery,God's Not Dead,Graeme,Karina,5
34,Health,Waterland,Bjorn,Edan,4
35,Self help,"Rocket, The",Gifford,Rosanna,4
36,Science fiction,"Emperor's Naked Army Marches On, The (Yuki Yukite shingun)",Elisha,Mendel,4
37,Romance,"All the Way Boys (Più forte, ragazzi!)",Mord,Jacquie,4
38,Cookbooks,Winter War (Talvisota),Storm,Trevor,4
39,Diaries,Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung),Phillipe,Barde,1
40,Romance,Woodstock Diary,Ida,Dusty,3
41,Health,Abelar: Tales of an Ancient Empire (Tales of an Ancient Empire),Rem,Sam,1
42,Art,Batman Unmasked: The Psychology of the Dark Knight,Idaline,Brennen,1
43,Encyclopedias,13 Rue Madeleine,Jeane,Brander,2
44,Journals,Entertaining Angels: The Dorothy Day Story,Philly,Esdras,5
45,horror,After Last Season,Sarah,Broderic,3
46,horror,My Friend Flicka,Euphemia,Tatum,3
47,Guide,Children of the Secret State,Gary,Seth,5
48,Romance,Hotel Very Welcome,Goraud,Dun,3
49,Math,Slam Dunk Ernest,Eachelle,Winnie,3
50,Journals,Dorm Daze (National Lampoon Presents Dorm Daze),Madel,Ninon,5
51,Poetry,Once Upon a Time in the Midlands,Beatriz,Moria,4
52,Mystery,Deception,Corney,Annmarie,1
53,Art,C.S.A.: The Confederate States of America,Suzanna,Minerva,2
54,Journals,Best Boy,Kara-lynn,Berenice,5
55,Health,My Blue Heaven,Heath,Harlan,3
56,Horror,"Hi-Lo Country, The",Olimpia,Lazaro,5
57,Travel,Invincible,Armin,Thaddus,5
58,Self help,Flight from Death: The Quest for Immortality,Roderick,Sissie,5
59,Comics,Reign Over Me,Retha,Doreen,4
60,Travel,Special,Steven,Isador,1
61,academic,Employee of the Month,Pegeen,Sandro,4
62,Horror,It's a Bikini World,Hermine,Currey,3
63,Mystery,"Gentleman's Game, A",Brynna,Margery,5
64,horror,Cave of Forgotten Dreams,Scotti,Mirna,5
65,Dictionaries,Washington Heights,Britni,Maighdiln,5
66,Encyclopedias,"Man in the White Suit, The",Blair,Berne,4
67,Travel,Allegheny Uprising,Valaree,Dyan,4
68,Religion,Hard Target,Maxy,Jessamine,5
69,Diaries,Charlie: The Life and Art of Charles Chaplin,Mychal,Buckie,3
70,Science fiction,Brotherhood,Berkeley,Alex,4
71,Self help,Ran,Tootsie,Ailina,5
72,Drama,Something Wild,Livvie,Korella,2
73,Mystery,"Talking Picture, A (Um Filme Falado)",Audi,Norbie,3
74,Poetry,Cold Fever (Á köldum klaka),Duncan,Fonz,2
75,Health,Angels Crest,Lianne,Moselle,2
76,Poetry,Cuckoo in a Dark Forest (Kukacka v temném lese) ,Dory,Kiele,3
77,Religion,Violette,Sacha,Odo,2
78,History,"Good Men, Good Women (Hao nan hao nu)",Reed,Mitchel,2
79,History,"Yellow Sea, The (a.k.a. The Murderer) (Hwanghae)",Michelina,Vivien,3
80,Religion,Cargo,Judon,Rafe,4
81,Dictionaries,Where the Red Fern Grows,Penny,Jewel,3
82, Spirituality & New Age,Wonderland,Danika,Marissa,1
83,Journals,On a marché sur Bangkok,Nollie,Emelina,3
84,Encyclopedias,Love Comes Softly,Leigh,Nicol,4
85,Dictionaries,Oklahoma Crude,Minette,Tamqrah,1
86,Diaries,Chiko,Virginia,Simona,2
87,Romance,"Battered Bastards of Baseball, The",Amalle,Olivero,5
88,Children's,"Perfect World, A",Nora,Tabby,3
89,Encyclopedias,Carmen Miranda: Bananas Is My Business,Harmony,Briggs,4
90,Poetry,"Music Man, The",Dix,Elfie,3
91,horror,Once Upon a Time in Queens,Liana,Gun,1
92,Encyclopedias,Hellraiser,Kelci,Blair,3
93, Spirituality & New Age,Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,Zerk,Shelly,3
94,Science fiction,"Battle of the Rails, The (La bataille du rail)",Raquel,Gabi,4
95,academic,In Old California,Stephan,Udall,1
96,Journals,Interceptor,Barnabe,Merl,3
97,Mystery,Snowballs,Eulalie,Gabby,2
98,Horror,Glumov's Diary (Dnevnik Glumova),Gene,Padriac,1
99,Self help,"Susana (Devil and the Flesh, The)",Nanci,Skipp,2
100,Health,"Virgin Spring, The (Jungfrukällan)",Tiff,Brandais,2
101,Science,Mission Bloody Mary,Sheelah,Kahlil,3
102,Self help,April Captains (Capitães de Abril),Cathyleen,Lucina,5
103,Drama,"Yank in the R.A.F., A",Ike,Axel,5
104,Mystery,Chain of Command,Johny,Garland,4
105,Math,Big Shot's Funeral (Da Wan),Addie,Gratiana,4
106,Math,Dark Habits (Entre tinieblas),Allina,George,1
107,Romance,"Young and the Damned, The (Olvidados, Los)",Eolande,Luther,1
108,Guide,Ganes,Mitch,Mab,2
109,Art,Before Night Falls,Armin,Salomi,1
110,Travel,Promised Land,Flint,Faydra,4
111,Action and Adventure,"Island, The",Brian,Dulcinea,5
112,Diaries,Mr. Deeds Goes to Town,Adina,Elnora,5
113,biography,"Man in the Iron Mask, The",Ferdinande,Rosabelle,3
114,Cookbooks,Night and the City,Morlee,Dollie,4
115,Science,"Thousand Cuts, A",Beulah,Marsiella,4
116,Science fiction,They Only Kill Their Masters,Ernst,Honey,2
117,Art,"20,000 Leagues Under the Sea",Inge,Jacki,4
118,Drama,Condition Red (Beyond the Law),Francoise,Fleurette,1
119,Science,Killing Lincoln,Gerik,Johnna,2
120,Dictionaries,Carriers,Kayne,Robinet,1
121,Health,Jeepers Creepers 2,Giffy,Tommie,1
122,Horror,"Blue Kite, The (Lan feng zheng)",Emerson,Esteban,2
123,Romance,"Normal Heart, The",Mahala,Fransisco,5
124,Drama,PCU,Tadio,Dionysus,2
